label	kind	origin	calls_per_step	us_per_step	us_per_call	bytes_touched_est	notes
laguna_dense_gate_up_swiglu_bf16_v1	swift_kernel	LagunaRuntimeModel.swift dense MLP	1	269.4	269.40	67108864	bytes-bound; nat_est 268.1 us/step; 250 GB/s = 92% of M4 Pro peak; layer-0 MLP is bf16, not NVFP4; layer 0 dense MLP
laguna_gate_sp_h64_v1	swift_kernel	LagunaRuntimeModel.swift:4429	30	248.0	8.27	4423680	overhead-bound; nat_est 208.5 us/step; 21 GB/s = 8% of M4 Pro peak; 147 KB per call; 40 calls/step; per-head g_proj sigmoid gate
laguna_full_fused_attn_grow_v1	swift_kernel	LagunaRuntimeModel.swift full attn	10	229.7	22.97	23592960	latency-bound; nat_est 216.5 us/step; 109 GB/s = 40% of M4 Pro peak; KV length grows 512 -> 640; growing KV, full attention
laguna_prefill_router_tournament_ordinal_norm_active64_v2	swift_kernel	LagunaRuntimeLayers.swift:776	39	185.5	4.76	39936	overhead-bound; nat_est 134.1 us/step; 0 GB/s = 0% of M4 Pro peak; 40 KB/step total; pure boundary + ramp; rows=1 decode entry, name is misleading
rmsbfloat16	mlx_stock	MLX AOT rms kernel	41	141.9	3.46	335872	overhead-bound; nat_est 87.9 us/step; 4 GB/s = 1% of M4 Pro peak; MLX AOT; 168 KB/step total; 40 input norms + 1 final norm
laguna_dense_down_residual_bf16_v1	swift_kernel	LagunaRuntimeModel.swift dense MLP	1	133.8	133.80	33554432	bytes-bound; nat_est 132.5 us/step; 253 GB/s = 93% of M4 Pro peak; layer 0
laguna_gate_sp_h48_v1	swift_kernel	LagunaRuntimeModel.swift:4429	10	80.2	8.02	1105920	overhead-bound; nat_est 67.0 us/step; 17 GB/s = 6% of M4 Pro peak
laguna_lmhead_exact_fused_int5_sparse_refine_v1	swift_kernel	LagunaLmHeadPrune.swift	1	77.0	77.00	0	overhead-bound; nat_est 75.7 us/step; sparse candidate rows only; byte count not derivable in-tree
argmax_bfloat16	mlx_stock	MLX AOT arg_reduce	1	9.0	9.00	0	overhead-bound; nat_est 7.7 us/step; MLX AOT arg_reduce over the pruned candidate set
laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1	swift_kernel	LagunaLmHeadPrune.swift	1	4.7	4.70	0	overhead-bound; nat_est 3.4 us/step
laguna_lmhead_coarse_argmax_stage1_v5	swift_kernel	LagunaLmHeadPrune.swift	1	4.1	4.10	0	overhead-bound; nat_est 2.8 us/step
laguna_decode_embedding_rope_atlas_bf16_2048_v2	swift_kernel	LagunaRuntimeModel.swift embedding	1	3.5	3.50	0	overhead-bound; nat_est 2.2 us/step; 1/step, r92 step splitter
gather_frontbfloat16_int32_int_2	mlx_stock	MLX AOT gather	1	3.4	3.40	4096	overhead-bound; nat_est 2.1 us/step; 2 GB/s = 1% of M4 Pro peak; one embedding row; embedding row gather
laguna_residual_rms_bf16_2048_v1	swift_kernel	LagunaRuntimeModel.swift:1182	1	2.9	2.90	8192	overhead-bound; nat_est 1.6 us/step; 5 GB/s = 2% of M4 Pro peak; layer-0 dense post-attn norm
unattributed	residue	SPLIT=1 gpu_busy_sum minus the 24 rows above	0	-0.3	0.00	0	the ledger closes to 0.004 % of busy and 0 dispatches; there is no residue to attribute
