kind	producer	consumer	count
RAW	vv_LogicalAndbool_	v_copybool_int32	80
RAW	v_copybool_int32	all_reduce_sumint32	80
RAW	g2_copyuint8uint8	vn_copyuint8int32	80
RAW	vn_copyuint8int32	g2_Subtractint32	80
WAR	vn_copyuint8int32	g2_Subtractint32	80
RAW	g2_Subtractint32	g2_Selectint32	80
WAR	g2_Subtractint32	g2_Selectint32	80
RAW	g2_Selectint32	vn_copyint32uint8	80
RAW	vn_copyint32uint8	vsn_RightShiftuint16	80
RAW	vsn_RightShiftuint16	vsn_BitwiseAnduint16	80
WAR	vsn_RightShiftuint16	vsn_BitwiseAnduint16	80
WAR	vsn_BitwiseAnduint16	vvn_BitwiseOruint16	80
RAW	vvn_BitwiseOruint16	vn_copyuint16uint8	80
RAW	vn_copyuint16uint8	vn_copyuint8int32	80
RAW	vn_copyuint8int32	vsn_RightShiftint32	80
RAW	vsn_RightShiftint32	vsn_BitwiseAndint32	80
WAR	vsn_RightShiftint32	vsn_BitwiseAndint32	80
RAW	vsn_BitwiseAndint32	gg1_copyint32int32	80
RAW	gg1_copyint32int32	gg2_copyint32int32	80
RAW	gg2_copyint32int32	g2_Addint32	80
RAW	g2_Addint32	g3_copyint32int32	80
RAW	g3_copyint32int32	vn_copyint32uint8	80
RAW	vn_copyint32uint8	g2_Selectuint8	80
RAW	g2_Selectuint8	vvn_NotEqualuint8	80
WAR	g2_Selectuint8	vvn_NotEqualuint8	80
RAW	vvn_NotEqualuint8	vn_copybool_int32	80
RAW	vn_copybool_int32	all_reduce_sumint32	80
RAW	g1_NotEqualuint8	vn_copybool_int32	78
RAW	all_reduce_sumint32	ss_Subtractint32	78
RAW	rmsbfloat16	steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned	78
RAW	steel_attention_bfloat16_bq32_bk16_bd128_wm4_wn1_maskbfloat16_align_Q_t_align_K_t_has_mask_n_do_causal_t_has_sinks_n	g2_Multiplybfloat16	78
RAW	Cf4IAsTypeADf4IBroadcastCBEf4IBroadcastBCFf4ILogAddExpDEGV2OAsTypeF_VC_V2_10408321403207385874_contiguous	g2_Multiplybfloat16	78
WAR	steel_attention_bfloat16_bq32_bk16_bd128_wm4_wn1_maskbfloat16_align_Q_t_align_K_t_has_mask_n_do_causal_t_has_sinks_n	g2_Multiplybfloat16	78
RAW	g2_Multiplybfloat16	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	78
RAW	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	78
RAW	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned	76
RAW	steel_gemm_splitk_accum_bfloat16_float32	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_v1_bfloat16_t_float_uint32_t_float	76
RAW	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_v1_bfloat16_t_float_uint32_t_float	custom_kernel_mlx_lm_route_csort_scatter_fused_m8_u32_v4_uint32_t_uint32_t_uint32_t_uint32_t	76
RAW	custom_kernel_mlx_lm_route_csort_scatter_fused_m8_u32_v4_uint32_t_uint32_t_uint32_t_uint32_t	gather_frontbfloat16_uint32_int_2	76
RAW	gather_frontbfloat16_uint32_int_2	nvfp4_gather_qmm_rhs_nt_bfloat16_t_gs_16_b_4_bm_16_bn_32_bk_32_wm_1_wn_2_align_M_t_align_N_t_align_K_t	76
WAR	nvfp4_qmm_t_splitk_fused_bfloat16_t_gs_16_b_4_alN_true	CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous	76
RAW	CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous	nvfp4_qmm_t_bfloat16_t_gs_16_b_4_alN_true_batch_0	76
RAW	nvfp4_gather_qmm_rhs_nt_bfloat16_t_gs_16_b_4_bm_16_bn_32_bk_32_wm_1_wn_2_align_M_t_align_N_t_align_K_t	custom_kernel_laguna_prefill_sorted_moe_tail_bf16_v1_bfloat16_t_uint32_t_float_bfloat16_t_bfloat16_t_bfloat16_t	76
RAW	nvfp4_qmm_t_bfloat16_t_gs_16_b_4_alN_true_batch_0	custom_kernel_laguna_prefill_sorted_moe_tail_bf16_v1_bfloat16_t_uint32_t_float_bfloat16_t_bfloat16_t_bfloat16_t	76
RAW	rmsbfloat16	custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	63
RAW	custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	63
RAW	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	63
RAW	g3_copybfloat16bfloat16	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	60
RAW	custom_kernel_laguna_prefill_sliding_qk_norm_rope_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	steel_attention_bfloat16_bq32_bk16_bd128_wm4_wn1_maskbfloat16_align_Q_t_align_K_t_has_mask_n_do_causal_t_has_sinks_n	58
RAW	custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	45
RAW	nvfp4_quantize_bfloat16_t_gs_16_b_4	gg1_copyuint8uint8	40
RAW	gg1_copyuint8uint8	g3_copyuint8uint8	40
RAW	nvfp4_quantize_bfloat16_t_gs_16_b_4	g3_copyuint8uint8	40
RAW	gg2_copybfloat16bfloat16	sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks	40
RAW	vn_copybool_int32	gather_frontint32_int32_int_1	39
RAW	gg2_copyuint8uint8	gatheruint8int32_1_1_int	39
RAW	gatheruint8int32_1_1_int	g3_copyuint8uint8	39
RAW	g3_copyuint8uint8	g1_NotEqualuint8	39
RAW	ss_Subtractint32	ss_Subtractint32	39
RAW	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	30
RAW	v_copyint32float32	vs_Dividefloat32	20
WAR	v_copyint32float32	vs_Dividefloat32	20
RAW	steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_naligned_K_taligned	steel_gemm_splitk_accum_bfloat16_float32	20
RAW	custom_kernel_laguna_prefill_full_qk_norm_yarn_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	steel_attention_bfloat16_bq32_bk16_bd128_wm4_wn1_maskbfloat16_align_Q_t_align_K_t_has_mask_n_do_causal_t_has_sinks_n	20
RAW	sn_copybfloat16bfloat16	gg2_copybfloat16bfloat16	20
RAW	gg2_copybfloat16bfloat16	gg2_copybfloat16bfloat16	20
WAR	gg2_copybfloat16bfloat16	gg2_copybfloat16bfloat16	20
RAW	sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	20
RAW	custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	18
RAW	vs_Dividefloat32	sv_Powerfloat32	11
WAR	vs_Dividefloat32	sv_Powerfloat32	11
RAW	v_copyint32float32	vs_Subtractfloat32	10
WAR	v_copyint32float32	vs_Subtractfloat32	10
RAW	vs_Dividefloat32	vs_Maximumfloat32	10
WAR	vs_Dividefloat32	vs_Maximumfloat32	10
RAW	vs_Maximumfloat32	vs_Minimumfloat32	10
WAR	vs_Maximumfloat32	vs_Minimumfloat32	10
RAW	vs_Minimumfloat32	sv_Subtractfloat32	10
WAR	vs_Minimumfloat32	sv_Subtractfloat32	10
RAW	sv_Subtractfloat32	sv_Subtractfloat32	10
RAW	vs_Subtractfloat32	vs_Dividefloat32	9
WAR	vs_Subtractfloat32	vs_Dividefloat32	9
RAW	custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t	custom_kernel_laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1_float_uint32_t_bfloat16_t_bfloat16_t_float	9
RAW	gather_frontbfloat16_int32_int_2	argmax_bfloat16	8
RAW	rmsbfloat16	custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	7
RAW	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	7
RAW	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	custom_kernel_laguna_dense_gate_up_swiglu_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t	7
RAW	custom_kernel_laguna_dense_gate_up_swiglu_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	7
RAW	rmsbfloat16	custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t	7
RAW	custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t	custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t	7
RAW	s_copybfloat16bfloat16	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	7
RAW	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous	4
RAW	vv_Multiplyfloat32	vv_Addfloat32	2
RAW	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	2
WAR	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous	2
RAW	CV2ISigmoidADV2IBroadcastACEV2IBroadcastCAFV2IMultiplyDEGV2IBroadcastFBHV2IBroadcastBFIV2OMultiplyGH_VV_V2V2_11160318154034397263_contiguous	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	2
RAW	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	vvn_Addbfloat16	2
WAR	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	vvn_Addbfloat16	2
RAW	rmsbfloat16	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	2
RAW	steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t	g2_copybfloat16bfloat16	2
RAW	g2_copybfloat16bfloat16	rmsbfloat16	2
WAR	g2_copybfloat16bfloat16	rmsbfloat16	2
RAW	rmsbfloat16	rope_bfloat16_	2
RAW	rope_single_bfloat16_	sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks	2
RAW	rope_bfloat16_	sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks	2
RAW	sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks	g2_Multiplybfloat16	2
WAR	sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks	g2_Multiplybfloat16	2
RAW	g2_Multiplybfloat16	gemv_al_bfloat16_bm4_bn1_sm1_sn32_tm4_tn4_nc0_axpby0	2
RAW	gemv_al_bfloat16_bm4_bn1_sm1_sn32_tm4_tn4_nc0_axpby0	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	2
RAW	rmsbfloat16	custom_kernel_laguna_lmhead_int5_inline_coarse_ratio_bound_delta_bf16_v6_bfloat16_t_uint8_t_uint8_t_uint8_t_float_bfloat16_t	2
RAW	custom_kernel_laguna_lmhead_int5_inline_coarse_ratio_bound_delta_bf16_v6_bfloat16_t_uint8_t_uint8_t_uint8_t_float_bfloat16_t	custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t	2
RAW	sv_Powerfloat32	vv_Multiplyfloat32	1
WAR	vv_Multiplyfloat32	vv_Addfloat32	1
RAW	vv_Multiplyfloat32	vv_Dividefloat32	1
RAW	vv_Addfloat32	vv_Dividefloat32	1
WAR	vv_Multiplyfloat32	vv_Dividefloat32	1
RAW	vsn_BitwiseAnduint32	vsn_GreaterEqualuint32	1
RAW	vsn_GreaterEqualuint32	vn_copybool_int32	1
RAW	vsn_Subtractint32	vvn_Addint32	1
RAW	vn_copybool_int32	vvn_Addint32	1
WAR	vsn_Subtractint32	vvn_Addint32	1
RAW	vvn_Addint32	vsn_Maximumint32	1
WAR	vvn_Addint32	vsn_Maximumint32	1
RAW	vsn_Maximumint32	vsn_Minimumint32	1
WAR	vsn_Maximumint32	vsn_Minimumint32	1
RAW	vsn_Minimumint32	vn_copyint32uint32	1
RAW	vn_copyint32uint32	vsn_LeftShiftuint32	1
WAR	vn_copyint32uint32	vsn_LeftShiftuint32	1
RAW	vsn_Equalint32	svn_Selectfloat32	1
RAW	vsn_LeftShiftuint32	svn_Selectfloat32	1
WAR	vsn_LeftShiftuint32	svn_Selectfloat32	1
RAW	svn_Selectfloat32	g2_Dividefloat32	1
RAW	all_reduce_maxfloat32	all_reduce_maxfloat32	1
RAW	vvn_BitwiseOruint32	vvn_BitwiseOruint32	1
WAR	vvn_BitwiseOruint32	vvn_BitwiseOruint32	1
RAW	s_copyfloat32float32	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	1
