study	arch	fn	compute_bytes
r92_decode	applegpu_g16s	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	3584
r92_decode	applegpu_g17s	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	3664
r92_decode	applegpu_g16s	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2944
r92_decode	applegpu_g17s	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2752
r92_decode	applegpu_g16s	custom_kernel_laguna_dense_gate_up_swiglu_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t	4016
r92_decode	applegpu_g17s	custom_kernel_laguna_dense_gate_up_swiglu_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t	3632
r92_decode	applegpu_g16s	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	8000
r92_decode	applegpu_g17s	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	8144
r92_decode	applegpu_g16s	custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	2912
r92_decode	applegpu_g17s	custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	2912
r92_decode	applegpu_g16s	custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	5632
r92_decode	applegpu_g17s	custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	5792
r92_decode	applegpu_g16s	custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	5632
r92_decode	applegpu_g17s	custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	5792
r92_decode	applegpu_g16s	custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t	2992
r92_decode	applegpu_g17s	custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t	2784
r92_decode	applegpu_g16s	custom_kernel_laguna_lmhead_exact_fused_int5_sparse_refine_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_uint8_t_uint8_t_bfloat16_t	6528
r92_decode	applegpu_g17s	custom_kernel_laguna_lmhead_exact_fused_int5_sparse_refine_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_uint8_t_uint8_t_bfloat16_t	6576
r92_decode	applegpu_g16s	custom_kernel_laguna_lmhead_exact_inline_mask_block_delta_bf16_lane0_mask_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_bfloat16_t	4112
r92_decode	applegpu_g17s	custom_kernel_laguna_lmhead_exact_inline_mask_block_delta_bf16_lane0_mask_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_bfloat16_t	3904
r92_decode	applegpu_g16s	custom_kernel_laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1_float_uint32_t_bfloat16_t_bfloat16_t_float	3104
r92_decode	applegpu_g17s	custom_kernel_laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1_float_uint32_t_bfloat16_t_bfloat16_t_float	2944
r92_decode	applegpu_g16s	custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t	3888
r92_decode	applegpu_g17s	custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t	4224
r92_decode	applegpu_g16s	custom_kernel_laguna_lmhead_int5_inline_coarse_ratio_bound_delta_bf16_v6_bfloat16_t_uint8_t_uint8_t_uint8_t_float_bfloat16_t	4352
r92_decode	applegpu_g17s	custom_kernel_laguna_lmhead_int5_inline_coarse_ratio_bound_delta_bf16_v6_bfloat16_t_uint8_t_uint8_t_uint8_t_float_bfloat16_t	4784
r92_decode	applegpu_g16s	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	5216
r92_decode	applegpu_g17s	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	5392
r92_decode	applegpu_g16s	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	5216
r92_decode	applegpu_g17s	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	5408
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_full_qk_norm_yarn_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	3312
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_full_qk_norm_yarn_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	3360
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	4720
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	4688
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_sliding_qk_norm_rope_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	3120
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_sliding_qk_norm_rope_bf16_128_h1_v2_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_int32_tc_bfloat16_t_bfloat16_t	3168
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_sorted_moe_tail_bf16_v1_bfloat16_t_uint32_t_float_bfloat16_t_bfloat16_t_bfloat16_t	2848
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_sorted_moe_tail_bf16_v1_bfloat16_t_uint32_t_float_bfloat16_t_bfloat16_t_bfloat16_t	2848
r92_decode	applegpu_g16s	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2288
r92_decode	applegpu_g17s	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2272
r92_decode	applegpu_g16s	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	4128
r92_decode	applegpu_g17s	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	4016
r92_decode	applegpu_g16s	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	4944
r92_decode	applegpu_g17s	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	5008
r92_decode	applegpu_g16s	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	5056
r92_decode	applegpu_g17s	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	5152
r92_decode	applegpu_g16s	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	3488
r92_decode	applegpu_g17s	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	3568
r92_decode	applegpu_g16s	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	7168
r92_decode	applegpu_g17s	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	7296
