study	arch	fn	compute_bytes
r92_decode	applegpu_g16s	custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	2912
r92_decode	applegpu_g17s	custom_kernel_laguna_full_qk_norm_yarn_bf16_128_v4_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t	2912
r92_decode	applegpu_g16s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h48_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	8048
r92_decode	applegpu_g17s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h48_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	7632
r92_decode	applegpu_g16s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h64_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	8064
r92_decode	applegpu_g17s	custom_kernel_laguna_fused_norm_qkv_projection_bf16_h64_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	7648
r92_decode	applegpu_g16s	custom_kernel_laguna_gated_output_projection_bf16_h48_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2976
r92_decode	applegpu_g17s	custom_kernel_laguna_gated_output_projection_bf16_h48_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2784
r92_decode	applegpu_g16s	custom_kernel_laguna_gated_output_projection_bf16_h64_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2976
r92_decode	applegpu_g17s	custom_kernel_laguna_gated_output_projection_bf16_h64_u2_v3_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2784
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_moe_tail_bf16_v1_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t	2624
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_moe_tail_bf16_v1_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t	2624
r92_decode	applegpu_g16s	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	4720
r92_decode	applegpu_g17s	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	4688
r92_decode	applegpu_g16s	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2288
r92_decode	applegpu_g17s	custom_kernel_laguna_residual_rms_bf16_2048_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2272
r92_decode	applegpu_g16s	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	4128
r92_decode	applegpu_g17s	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	4016
r92_decode	applegpu_g16s	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	7168
r92_decode	applegpu_g17s	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	7296
